1221399680,J2241-5236
1221832280,J2145-0750 J2222-0137 J2248-0101
1222435400,J2155-3118 J2048-1616 J2108-3429
1222697776,J2330-2005 J2325-0530 J0034-0721 J2145-0750 J2336-01
1223042480,J2234+2114 J2317+2149
1225713560,J2241-5236
1226062160,J2330-2005 J0152-1637 J0206-4028 J2354-22 J0134-2937 J0038-2501
1255444104,J0030+0451 J0034-0721 J0034-0534
1224252736,J2241-5236
1227009976,J0133-6957 J2324-6054
1224859816,J0206-4028 J0255-5304
1225118240,J0051+0423
1225462936,J0152-1637
1252177744,J0151-0635
1252780888,J0152-1637
1253471952,J0255-5304
1253991112,J0206-4028 J0418-4154
1254594264,J0304+1932
1255197408,J0450-1248 J0452-1759 J0459-0210
1255803168,J0401-7608
1256407632,J0450-1248 J0459-0210
1257010784,J0452-1759 J0520-2553 J0450-1248
1257617424,J0514-4408 J0636-4549 J0702-4956 J0600-5756 J0437-4715
1258221008,J0630-2834 J0737-3039A J0636-4549
1259685792,J0525+1115 J0528+2200 J0534+2200 J0614+2229
1259427304,J0450-1248 J0452-1759 J0459-0210 J0601-0527
1260638120,J0624-0424
1261241272,J0630-2834 J0820-1350 J0737-3039A J0742-2822 J0729-1836
1265983624,J0630-2834 J0742-2822 J0749-4247 J0820-4114 J0820-3921 J0835-4510 J0837-4135 J0838-3947 J0924-5302 J0942-5552 J0955-5304 J0959-4809
1265725128,J0826+2637 J0837+0610 J0922+0638
1266155952,J0729-1448 J0729-1836 J0742-2822 J0758-1528 J0820-1350 J0823+0159
1266329600,J0837-4135 J0856-6137 J0905-6019 J0924-5302 J0924-5814 J0942-5657 J0842-4851 J0907-5157 J0902-6325
1266932744,J0856-6137 J0902-6325 J0904-7459 J0905-6019 J0924-5302 J0924-5814 J0942-5552 J0942-5657
1264867416,J0922+0638 J1022+1001 J0953+0755
1265470568,J0908-1739 J0820-4114 J0742-2822 J0820-1350 J0835-4510 J0837-4135 J0855-3331 J1012-2337
1266680784,J0835-4510 J0837-4135 J0924-5302 J0942-5657 J0955-5304 J0959-4809 J1003-4747 J1057-5226 J1116-4122
1267111608,J0922+0638 J0943+1631 J0946+0951 J0953+0755
1267283936,J0908-1739 J0944-1354 J1018-1642
1267459328,J1057-5226 J1059-5742 J1116-4122 J1121-5444 J1123-4844 J1123-6651 J1136-5525 J1141-6545 J1146-6030 J1202-5820 J1224-6407 J1225-5556 J1240-4124 J1312-5402 J1320-5359
1268063336,J0953+0755 J1136+1551
1268321832,J1012-2337 J1018-1642 J1034-3224 J1041-1942
1300809400,J1311-1228 J1257-1027
1300981728,J1313+0931 J1300+1240
1301240224,J1059-5742 J1202-5820 J1224-6407 J1430-6623 J1141-6545 J1112-6926 J1239-6832 J1456-6843 J1340-6456 J1123-6651
1301412552,J1328-4357 J1240-4124 J1355-5153 J1418-3921 J1335-3642 J1320-5359
1301674968,J1311-1228 J1332-3032 J1418-3921
1301847296,J1313+0931 J1300+1240 J1311-1228
1302106648,J1453-6413 J1456-6843 J1430-6623 J1534-5334 J1440-6344 J1355-5153 J1418-3921
1302712864,J1543-0620
1302540536,J1543+0929
1302282040,J1510-4422 J1527-3931 J1455-3330 J1507-4352 J1418-3921 J1534-5334 J1536-4948
