Pulsar,ObservationID,ATNF Period (s),ATNF DM,Bextprof DM,Bestprof sigma,Bestprof location,Plot location,Archive locaion,Flux Density (mJy),Flux Density Uncertainty (mJy),SN,SN Uncertainty,Predicted SN,Predicted SN Uncertainty,Searched Bool,Search offset (deg),Search Bestprof location,Search Bestprof sigma,Search SN,Search SN Uncertainty
J0206-4028,1224859816,0.6305512595685335,12.9,12.988,196.3,/astro/mwavcs/vcs/1224859816/dpp/1224859816_J0206-4028/pf_1224859816_J0206-4028_02:06:01.29_-40:28:03.62_b512_630.56ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1224859816/dpp/1224859816_J0206-4028/pf_1224859816_J0206-4028_02:06:01.29_-40:28:03.62_b1024_630.56ms_Cand.pfd.png,/astro/mwavcs/vcs/1224859816/dpp/1224859816_J0206-4028/1224859816_J0206-4028_archive.ar,128.934,15.622,68.24760756678558,4.801884911770681,,,,,,,,
J0206-4028,1253991112,0.6305512595685335,12.9,12.994,51.9,/astro/mwavcs/vcs/1253991112/dpp/1253991112_J0206-4028/pf_1253991112_J0206-4028_02:06:01.29_-40:28:03.62_b128_630.38ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1253991112/dpp/1253991112_J0206-4028/pf_1253991112_J0206-4028_02:06:01.29_-40:28:03.62_b1024_630.38ms_Cand.pfd.png,/astro/mwavcs/vcs/1253991112/dpp/1253991112_J0206-4028/1253991112_J0206-4028_archive.ar,95.333,20.551,11.754894312323113,2.7706551601249507,,,,,,,,
J0255-5304,1224859816,0.44770847319884904,15.9,17.961,11.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1224859816/1224859816_J0255-5304.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1224859816/1224859816_J0255-5304.prepfold.ps,,18.383,5.601,15.814199126280759,3.2280598791796185,,,,,,,,
J0255-5304,1253471952,0.44770847319884904,15.9,15.900,13.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1253471952/1253471952_J0255-5304.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1253471952/1253471952_J0255-5304.prepfold.ps,,67.15,10.263,9.705607328194777,2.2876335857667924,,,,,,,,
J0304+1932,1254594264,1.387584446262276,15.65677,15.657,40.6,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1254594264/1254594264_J0304+1932.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1254594264/1254594264_J0304+1932.prepfold.ps,,34.5,9.008,22.333060388598557,5.263952815142238,,,,,,,,
J0401-7608,1255803168,0.5452541866069086,21.7,21.700,60.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1255803168/1255803168_J0401-7608.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1255803168/1255803168_J0401-7608.prepfold.ps,,73.808,18.32,51.98303398052777,12.252518611427305,,,,,,,,
J0418-4154,1253991112,0.7571189450307722,24.325,24.325,46.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1253991112/1253991112_J0418-4154.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1253991112/1253991112_J0418-4154.prepfold.ps,/astro/mwavcs/vcs/1253991112/dpp/1253991112_J0418-4154/1253991112_J0418-4154_archive.ar,38.409,11.324,42.250525120609375,9.958544273825154,,,,,,,,
J0437-4715,1257617424,0.0057574519367126365,2.64476,2.643,319.0,/astro/mwavcs/vcs/1257617424/dpp/1257617424_J0437-4715/pf_1257617424_J0437-4715_04:37:15.89_-47:15:09.11_b50_PSR_J0437-4715.pfd.bestprof,/astro/mwavcs/vcs/1257617424/dpp/1257617424_J0437-4715/pf_1257617424_J0437-4715_04:37:15.89_-47:15:09.11_b50_PSR_J0437-4715.pfd.png,/astro/mwavcs/vcs/1257617424/dpp/1257617424_J0437-4715/1257617424_J0437-4715_archive.ar,1179.041,237.693,6.230826978476452,94.57410428651477,,,,,,,,
J0450-1248,1255197408,0.4380141493906399,37.041,37.040,159.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1255197408/1255197408_J0450-1248.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1255197408/1255197408_J0450-1248.prepfold.ps,,196.661,55.594,180.448027906213,42.53200806140753,,,,,,,,
J0450-1248,1256407632,0.4380141493906399,37.041,37.040,42.6,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1256407632/1256407632_J0450-1248.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1256407632/1256407632_J0450-1248.prepfold.ps,,131.259,33.44,81.3195738692702,19.16720737538711,,,,,,,,
