Pulsar,ObservationID,ATNF Period (s),ATNF DM,Bextprof DM,Bestprof sigma,Bestprof location,Plot location,Archive locaion,Flux Density (mJy),Flux Density Uncertainty (mJy),SN,SN Uncertainty,Predicted SN,Predicted SN Uncertainty,Searched Bool,Search offset (deg),Search Bestprof location,Search Bestprof sigma,Search SN,Search SN Uncertainty
J0820-4114,1265470568,0.5454455601017385,113.4,113.397,11.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0820-4114.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0820-4114.prepfold.ps,,33.59,7.26,7.341534244559435,1.498584402361649,,,,,,,,
J0823+0159,1266155952,0.8648728046988048,23.727,23.928,13.2,/astro/mwavcs/vcs/1266155952/dpp/1266155952_J0823+0159/pf_1266155952_J0823+0159_08:23:09.76_+01:59:12.46_b100_PSR_J0823+0159.pfd.bestprof,/astro/mwavcs/vcs/1266155952/dpp/1266155952_J0823+0159/pf_1266155952_J0823+0159_08:23:09.76_+01:59:12.46_b1024_PSR_J0823+0159.pfd.png,/astro/mwavcs/vcs/1266155952/dpp/1266155952_J0823+0159/1266155952_J0823+0159_archive.ar,37.21,10.307,11.092550014932646,2.614539112069938,,,,,,,,
J0826+2637,1265725128,0.5306605116860001,19.47633,19.472,190.5,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265725128/1265725128_J0826+2637.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265725128/1265725128_J0826+2637.prepfold.ps,,193.866,18.806,51.046473986814185,3.5916173764261177,,,,,,,,
J0835-4510,1265983624,0.08932838502359318,67.771,67.838,471.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0835-4510.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0835-4510.prepfold.ps,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0835-4510/1265983624_J0835-4510_archive.ar,0.0,7.041,42.48918678055578,3.202742959055278,,,,,,,,
J0835-4510,1265470568,0.08932838502359318,67.771,67.830,80.6,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0835-4510.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0835-4510.prepfold.ps,,-0.0,-7.098,23.80671620867867,5.611296822980127,,,,,,,,
J0835-4510,1266680784,0.08932838502359318,67.771,67.843,173.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J0835-4510.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J0835-4510.prepfold.ps,,1120.632,55.28,23.01425399619858,1.7347646667120007,,,,,,,,
J0837+0610,1265725128,1.2737682915784503,12.864,12.867,143.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265725128/1265725128_J0837+0610.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265725128/1265725128_J0837+0610.prepfold.ps,,138.301,17.315,61.21842937892656,4.307313660325749,,,,,,,,
J0837-4135,1265983624,0.7516254225473826,147.2,147.328,118.6,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0837-4135.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0837-4135.prepfold.ps,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0837-4135/1265983624_J0837-4135_archive.ar,174.785,14.263,30.739147985278688,2.162798904954318,,,,,,,,
J0837-4135,1266329600,0.7516254225473826,147.2,147.301,77.7,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0837-4135.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0837-4135.prepfold.ps,,144.191,12.067,24.449458307877123,1.7202578835407978,,,,,,,,
J0837-4135,1265470568,0.7516254225473826,147.2,147.331,0.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0837-4135.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0837-4135.prepfold.ps,,80.289,7.763,15.22934193466533,1.07153275930886,,,,,,,,
J0837-4135,1266680784,0.7516254225473826,147.2,147.282,34.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J0837-4135.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J0837-4135.prepfold.ps,,53.836,6.095,12.796157669181444,0.9003345118017757,,,,,,,,
J0838-3947,1265983624,1.7039457055449228,219.0,239.991,6.6,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0838-3947/pf_1265983624_J0838-3947_08:38:30.80_-39:47:22.00_b100_1703.95ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0838-3947/pf_1265983624_J0838-3947_08:38:30.80_-39:47:22.00_b100_1703.95ms_Cand.pfd.png,,22.038,9.04,5.706141098443673,1.3449503550389255,,,,,,,,
J0842-4851,1266329600,0.6443536202886856,196.85,196.579,12.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0842-4851.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0842-4851.prepfold.ps,,43.011,8.163,6.350424817812724,1.2962750377956667,,,,,,,,
J0855-3331,1265470568,1.2675357027556968,86.635,86.414,27.4,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0855-3331.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0855-3331.prepfold.ps,,76.297,8.479,15.726828926879536,1.5726828926879537,,,,,,,,
J0856-6137,1266329600,0.9625106105636911,95.0,95.802,80.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0856-6137.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0856-6137.prepfold.ps,,111.02,11.105,24.550201643894894,1.7273461599278022,,,,,,,,
J0856-6137,1266932744,0.9625106105636911,95.0,95.784,99.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0856-6137.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0856-6137.prepfold.ps,,92.812,9.329,32.90336206078978,2.315072475934352,,,,,,,,
J0902-6325,1266329600,0.6603133715,72.72,72.903,15.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0902-6325.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0902-6325.prepfold.ps,,38.801,9.752,20.763036262725045,4.238237029548348,,,,,,,,
J0902-6325,1266932744,0.6603133715,72.72,72.848,29.5,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0902-6325.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0902-6325.prepfold.ps,,22.706,5.102,22.676888806262316,2.2676888806262316,,,,,,,,
J0904-7459,1266932744,0.5495536788056365,51.1,49.111,11.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0904-7459.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0904-7459.prepfold.ps,,13.445,4.361,6.883896724939022,1.4051695348430706,,,,,,,,
J0905-6019,1266329600,0.340854176542,91.4,91.652,18.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0905-6019.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0905-6019.prepfold.ps,,33.839,7.554,13.87857260653765,1.962726560654526,,,,,,,,
J0905-6019,1266932744,0.340854176542,91.4,91.665,21.7,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0905-6019.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0905-6019.prepfold.ps,,31.949,5.037,14.825367168117355,1.4825367168117354,,,,,,,,
J0907-5157,1266329600,0.25355772532977777,103.72,103.808,16.4,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0907-5157.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0907-5157.prepfold.ps,,88.502,12.466,7.132845339880268,1.4559859580746257,,,,,,,,
J0908-1739,1265470568,0.40162562344216124,15.879,15.870,80.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0908-1739.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0908-1739.prepfold.ps,,102.991,9.962,26.808780017120885,1.8862591797260766,,,,,,,,
J0908-1739,1267283936,0.40162562344216124,15.879,15.866,0.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267283936/1267283936_J0908-1739.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267283936/1267283936_J0908-1739.prepfold.ps,,62.072,6.423,20.24269712410539,1.4242711995239492,,,,,,,,
J0922+0638,1265725128,0.4306270989281231,27.2986,27.305,17.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265725128/1265725128_J0922+0638.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265725128/1265725128_J0922+0638.prepfold.ps,,35.467,7.809,14.362077691523236,2.031104505520823,,,,,,,,
J0922+0638,1264867416,0.4306270989281231,27.2986,27.289,176.4,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1264867416/1264867416_J0922+0638.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1264867416/1264867416_J0922+0638.prepfold.ps,,184.273,16.845,44.97447404648256,3.1643929514641362,,,,,,,,
J0922+0638,1267111608,0.4306270989281231,27.2986,27.276,192.7,/astro/mwavcs/vcs/1267111608/dpp/1267111608_J0922+0638/pf_1267111608_J0922+0638_09:22:14.02_+06:38:23.30_b256_430.27ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1267111608/dpp/1267111608_J0922+0638/pf_1267111608_J0922+0638_09:22:14.02_+06:38:23.30_b1024_430.27ms_Cand.pfd.png,/astro/mwavcs/vcs/1267111608/dpp/1267111608_J0922+0638/1267111608_J0922+0638_archive.ar,,,,,,,,,,,,
J0924-5302,1265983624,0.746338052448296,152.9,153.425,28.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0924-5302.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0924-5302.prepfold.ps,,56.934,8.094,15.77201385716258,1.5772013857162581,,,,,,,,
J0924-5302,1266329600,0.746338052448296,152.9,153.376,0.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0924-5302.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0924-5302.prepfold.ps,,115.287,10.159,19.85304839357052,1.3968556105127885,,,,,,,,
J0924-5302,1266932744,0.746338052448296,152.9,153.345,0.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0924-5302.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0924-5302.prepfold.ps,,52.777,5.286,13.486306664575249,0.9488932256674918,,,,,,,,
J0924-5302,1266680784,0.746338052448296,152.9,153.335,28.4,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J0924-5302.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J0924-5302.prepfold.ps,,63.605,8.497,14.120937658026023,1.4120937658026023,,,,,,,,
J0924-5814,1266329600,0.7395054700038848,57.4,57.643,16.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0924-5814.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0924-5814.prepfold.ps,,42.834,7.403,8.664719730674541,1.2253764157281686,,,,,,,,
J0924-5814,1266932744,0.7395054700038848,57.4,57.254,20.7,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0924-5814.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0924-5814.prepfold.ps,,29.489,5.353,10.176676325601466,1.4391993679546788,,,,,,,,
J0942-5552,1265983624,0.6643886813760521,180.16,180.055,9.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0942-5552.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0942-5552.prepfold.ps,,34.558,10.563,21.863812745056077,6.913944660979552,,,,,,,,
J0942-5552,1266932744,0.6643886813760521,180.16,180.026,31.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0942-5552.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0942-5552.prepfold.ps,,37.274,5.446,14.434703980465835,1.4434703980465835,,,,,,,,
J0942-5657,1266329600,0.8081643714147704,159.74,160.189,71.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0942-5657.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266329600/1266329600_J0942-5657.prepfold.ps,,86.386,10.282,28.034116827236957,1.9724735768326085,,,,,,,,
J0942-5657,1266932744,0.8081643714147704,159.74,160.193,116.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0942-5657.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266932744/1266932744_J0942-5657.prepfold.ps,,95.017,10.647,44.38587499586311,3.1229792667794944,,,,,,,,
J0942-5657,1266680784,0.8081643714147704,159.74,160.171,35.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J0942-5657.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J0942-5657.prepfold.ps,,44.988,6.123,19.007189358796182,1.3373411765072725,,,,,,,,
J0943+1631,1267111608,1.0874177280712083,20.3402,20.482,9.7,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267111608/1267111608_J0943+1631.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267111608/1267111608_J0943+1631.prepfold.ps,,34.236,6.932,11.122606540556177,2.2703925528421207,,,,,,,,
J0944-1354,1267283936,0.5702641245618781,12.497,12.499,0.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267283936/1267283936_J0944-1354.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267283936/1267283936_J0944-1354.prepfold.ps,,26.531,4.77,24.842812029115084,1.7479341547881535,,,,,,,,
J0946+0951,1267111608,1.0977057048553227,15.31845,15.319,210.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267111608/1267111608_J0946+0951.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267111608/1267111608_J0946+0951.prepfold.ps,/astro/mwavcs/vcs/1267111608/dpp/1267111608_J0946+0951/1267111608_J0946+0951_archive.ar,181.877,17.863,53.43707184440609,3.759819254730033,,,,,,,,
J0953+0755,1264867416,0.25306516494815756,2.96927,2.971,1441.5,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1264867416/1264867416_J0953+0755.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1264867416/1264867416_J0953+0755.prepfold.ps,,1863.552,126.199,212.21682106402505,14.931523425111571,,,,,,,,
J0953+0755,1267111608,0.25306516494815756,2.96927,2.971,569.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267111608/1267111608_J0953+0755.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267111608/1267111608_J0953+0755.prepfold.ps,/astro/mwavcs/vcs/1267111608/dpp/1267111608_J0953+0755/1267111608_J0953+0755_archive.ar,775.204,51.214,96.88853995613417,6.817053882563878,,,,,,,,
J0953+0755,1268063336,0.25306516494815756,2.96927,3.065,21.8,/astro/mwavcs/vcs/1268063336/dpp/1268063336_J0953+0755/pf_1268063336_J0953+0755_09:53:09.30_+07:55:35.75_b256_253.06ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1268063336/dpp/1268063336_J0953+0755/pf_1268063336_J0953+0755_09:53:09.30_+07:55:35.75_b1024_253.06ms_Cand.pfd.png,/astro/mwavcs/vcs/1268063336/dpp/1268063336_J0953+0755/1268063336_J0953+0755_archive.ar,80.503,13.246,10.569327073126063,1.4947285691972005,,,,,,,,
J0955-5304,1265983624,0.8621220105913701,156.9,156.900,10.4,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0955-5304.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0955-5304.prepfold.ps,,27.533,8.394,10.966649745903641,3.467959149836232,,,,,,,,
J0955-5304,1266680784,0.8621220105913701,156.9,156.860,23.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J0955-5304.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J0955-5304.prepfold.ps,,48.976,13.202,35.285771654954644,8.316936138872832,,,,,,,,
J0959-4809,1265983624,0.670085873648983,92.7,92.322,12.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0959-4809.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0959-4809.prepfold.ps,,36.425,8.262,10.875846953093955,2.2200229629736103,,,,,,,,
J0959-4809,1266680784,0.670085873648983,92.7,92.460,0.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J0959-4809.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J0959-4809.prepfold.ps,,109.69,8.371,19.036804725644593,1.3394249064473553,,,,,,,,
J1003-4747,1266680784,0.3070742192346082,98.49,98.559,10.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J1003-4747.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J1003-4747.prepfold.ps,,29.047,6.653,17.63678432335817,3.600093524645416,,,,,,,,
J1012-2337,1265470568,2.517945020504389,22.51,21.946,8.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J1012-2337.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J1012-2337.prepfold.ps,,15.708,6.534,8.265776578289266,2.613868061746717,,,,,,,,
J1012-2337,1268321832,2.517945020504389,22.51,22.693,0.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1268321832/1268321832_J1012-2337.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1268321832/1268321832_J1012-2337.prepfold.ps,,38.917,4.975,14.30239705047097,1.0063131448469143,,,,,,,,
J1018-1642,1267283936,1.8046949457679968,48.82,48.878,34.1,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267283936/1267283936_J1018-1642.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267283936/1267283936_J1018-1642.prepfold.ps,,23.476,4.158,13.116060850167958,0.9228428210711281,,,,,,,,
J1018-1642,1268321832,1.8046949457679968,48.82,48.826,12.4,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1268321832/1268321832_J1018-1642.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1268321832/1268321832_J1018-1642.prepfold.ps,,16.065,5.436,13.107574455068661,2.6755724317047913,,,,,,,,
J1022+1001,1264867416,0.016452929958449262,10.2442,10.258,21.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1264867416/1264867416_J1022+1001.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1264867416/1264867416_J1022+1001.prepfold.ps,,67.987,9.553,10.720113878157816,1.9572160633637412,,,,,,,,
J1034-3224,1268321832,1.1505904284171227,50.75,50.800,26.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1268321832/1268321832_J1034-3224.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1268321832/1268321832_J1034-3224.prepfold.ps,,73.031,6.816,12.857153620081753,1.2857153620081754,,,,,,,,
J1041-1942,1268321832,1.3863680745875944,33.777,33.788,32.7,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1268321832/1268321832_J1041-1942.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1268321832/1268321832_J1041-1942.prepfold.ps,,48.982,6.725,24.535944601855675,2.4535944601855677,,,,,,,,
J1057-5226,1266680784,0.19711468957450884,29.69,29.717,0.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J1057-5226.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J1057-5226.prepfold.ps,,168.625,9.353,11.140582206450837,0.7838486287324787,,,,,,,,
J1057-5226,1267459328,0.19711468957450884,29.69,29.708,92.7,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1057-5226.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1057-5226.prepfold.ps,,286.745,15.171,19.05255108091164,1.3405328161377899,,,,,,,,
J1059-5742,1267459328,1.1850026197912604,108.7,108.699,23.7,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1059-5742.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1059-5742.prepfold.ps,,47.066,6.478,11.627431708067615,1.1627431708067617,,,,,,,,
J1059-5742,1301240224,1.1850026197912604,108.7,108.853,18.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1301240224/pf_1301240224_J1059-5742_10:59:00.88_-57:42:14.55_b128_1184.85ms_Cand.pfd.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1301240224/pf_1301240224_J1059-5742_10:59:00.88_-57:42:14.55_b128_1184.85ms_Cand.pfd.png,/astro/mwavcs/vcs/1301240224/dpp/1301240224_J1059-5742/1301240224_J1059-5742_archive.ar,49.026,10.411,21.584042522669545,4.405824230589584,,,,,,,,
J1112-6926,1301240224,0.8204876424180775,148.4,148.493,25.8,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1301240224/pf_1301240224_J1112-6926_11:12:50.78_-69:26:32.33_b256_820.45ms_Cand.pfd.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1301240224/pf_1301240224_J1112-6926_11:12:50.78_-69:26:32.33_b256_820.45ms_Cand.pfd.png,/astro/mwavcs/vcs/1301240224/dpp/1301240224_J1112-6926/1301240224_J1112-6926_archive.ar,37.452,7.677,21.47550843277374,3.0370955284486394,,,,,,,,
J1116-4122,1266680784,0.943157882843,40.53,40.750,10.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J1116-4122.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266680784/1266680784_J1116-4122.prepfold.ps,,101.519,44.543,10.84067556863628,2.555171735742016,,,,,,,,
J1116-4122,1267459328,0.943157882843,40.53,40.556,0.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1116-4122.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1116-4122.prepfold.ps,,54.329,8.279,16.721557133473123,1.1765246543178987,,,,,,,,
J1121-5444,1267459328,0.5357865139154964,204.7,204.696,18.7,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1121-5444.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1121-5444.prepfold.ps,,78.629,8.793,10.128503202860903,1.432386659602522,,,,,,,,
J1123-4844,1267459328,0.244838478401,92.915,93.587,7.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1123-4844.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1123-4844.prepfold.ps,,16.214,5.386,6.155703900764849,1.2565277970444915,,,,,,,,
J1123-6651,1267459328,0.232976432603,111.196,111.231,8.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1123-6651.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1123-6651.prepfold.ps,,28.645,6.482,9.969978750587282,2.0351133904441494,,,,,,,,
J1123-6651,1301240224,0.232976432603,111.196,111.193,20.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1301240224/pf_1301240224_J1123-6651_11:23:52.21_-66:51:49.07_b128_232.97ms_Cand.pfd.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1301240224/pf_1301240224_J1123-6651_11:23:52.21_-66:51:49.07_b128_232.97ms_Cand.pfd.png,/astro/mwavcs/vcs/1301240224/dpp/1301240224_J1123-6651/1301240224_J1123-6651_archive.ar,40.275,8.111,11.320484176413517,2.3107841561220157,,,,,,,,
J1136+1551,1268063336,1.1879130659363586,4.84066,4.837,439.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1268063336/1268063336_J1136+1551_c1268063056_b1024.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1268063336/1268063336_J1136+1551_c1268063056_b1024.prepfold.ps,/astro/mwavcs/vcs/1268063336/dpp/1268063336_J1136+1551/1268063336_J1136+1551_archive.ar,318.051,36.891,151.58371611577073,10.665393048014987,,,,,,,,
J1136-5525,1267459328,0.36471324916608333,85.111,85.143,15.8,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1136-5525.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1136-5525.prepfold.ps,,33.8,6.08,7.383711456672872,1.0442144882676376,,,,,,,,
J1141-6545,1267459328,0.3938988148377834,116.08,116.195,11.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1141-6545.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1141-6545.prepfold.ps,,22.79,6.304,10.927662943105542,2.230599857644072,,,,,,,,
J1141-6545,1301240224,0.3938988148377834,116.08,115.963,13.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1301240224/pf_1301240224_J1141-6545_11:41:07.01_-65:45:19.11_b128_PSR_J1141-6545.pfd.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1301240224/pf_1301240224_J1141-6545_11:41:07.01_-65:45:19.11_b128_PSR_J1141-6545.pfd.png,/astro/mwavcs/vcs/1301240224/dpp/1301240224_J1141-6545/1301240224_J1141-6545_archive.ar,54.909,9.518,14.13952369008605,2.886218187225461,,,,,,,,
J1146-6030,1267459328,0.27337450864355883,111.68,111.679,12.7,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1146-6030.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1146-6030.prepfold.ps,,24.112,6.143,9.443189167448653,1.927582917068891,,,,,,,,
J1202-5820,1267459328,0.45280309753690035,145.41,145.787,31.8,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1202-5820.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1267459328/1267459328_J1202-5820.prepfold.ps,,119.269,8.057,12.753748070352747,0.8973505828408891,,,,,,,,
